"Gonzalez, Antonio C."
"Goodhart, Arthur and Cecily"
"Goodhart, Hattie Lehman"
"Gordan, Phyllis Walter Goodhart (Mrs. John D.)"
"Gore, Albert and Mrs. (Pauline)"
"Gotshal, Sylvan"
"Graham, Frank P."
"Graham, Louis E."
"Graves, Frank P."
"Gray, Robert"
"Green, Lord Wilfred"
"Green, Theodore Francis"
"Green, William"
"Greenman, Frederick F."
"Grew, Joseph Clark"
"Griswold, Erwin N."
"Gromyko, Andrei"
"Gruening, Ernest"
"Guffey, Joseph F."
"Gulick, Luther H."
"Gurney, Chan"
"Gustav, Adolf, Crown Prince of Sweden"
"Haddad, William"
"Hagerty, James A."
"Hagerty, James C."
"Halifax, Earl of"
"Halsted, Anna E. Roosevelt"
"Hambro, C. J."
"Hancock, John M."
"Hand, Learned"
"Hanley, Joe R."
"Hannegan, Robert"
"Harlan, John M."
"Harman, Avraham"
"Harriman, Averill"
"Harriman, Florence J."
"Harrington, Helen"
"Hart, Philip A."
"Hart, William M."
"Hartke, Vance"
"Haskell, William N."
"Hastie, William H."
"Hayden, Carl"
"Hayes, Helen"
"Hayes, Patrick Cardinal"
"Hearst, William R., Jr."
"Heck, Oswald D."
"Hellman, Lillian"
"Henderson, Leon"
"Hendrickson, Robert C."
"Hennings, Thomas C., Jr."
"Herrick, Elinore M."
"Hershey, Lewis B."
"Herzog, Paul and Mrs."
"High, Stanley"
"Hill, Lister and Mrs. (Henrietta)"
"Hilldring, John"
"Hillman, Sidney and Mrs. (Bessie)"
"Hillquit, Morris"
"Hines, Mrs. James J."
"Hiss, Alger"
"Hodges, Luther D."
"Hodson, William"
"Hoey, Clyde R."
"Hoffman, Paul G."
"Holland, Spessard L."
"Holmes, John Haynes"
"Holmes, Oliver Wendell"
"Holt, Rush D."
"Hoover, Herbert C."
"Hoover, J. Edgar"
"Hopkins, Harry and Mrs. Louise Macy"
"Hovde, Bryn J."
"Howard, Roy W."
"Howe, Louis McHenry"
"Huberman, Bronislaw"
"Hudec, Karel"
"Hughes, Charles Evans"
"Hull, Cordell"
"Humphrey, Hubert H. and Mrs. Muriel"
"Hunt, Lester C."
"Hurst, Fannie"
"Hutchins, Robert M."
"Hyde, H. Van Zile"
"Iakovos, Archbishop"
"Ickes, Harold and Mrs. Jane D."
"Impellitteri, Vincent"
"Ingersoll, Raymond"
"International Ladies&#039; Garment Workers&#039; Union"
"Inverchapel, Lord"
"Isaacs, Stanley M."
"Ives, Irving M."
"Jack, Hulan E."
"Jackson, Gardner"
"Jackson, Henry and Mrs. Helen"
"Jackson, Hugh R."
"Jackson, Robert H."
"Jackson, Sir Robert G. A. and Lady Barbara Ward"
"Javits, Jacob K. and Mrs."
"Jenner, William E."
"Jessel, George"
"Jessup, Philip C. and Mrs. (Lois)"
"Johnson, Alvin"
"Johnson, Edward A."
"Johnson, Edwin C."
"Johnson, George F."
"Johnson, Louis A."
